produto,qtd_producao,qtd_comercializacao,qtd_processamento
VINHO DE MESA,169762429,187016848,187016848
Tinto,139320884,0,0
Tinto,139320884,0,12450606
Tinto,139320884,0,165097539
Tinto,139320884,12450606,0
Tinto,139320884,12450606,12450606
Tinto,139320884,12450606,165097539
Tinto,139320884,165097539,0
Tinto,139320884,165097539,12450606
Tinto,139320884,165097539,165097539
Branco,27910299,0,0
Branco,27910299,0,4924121
Branco,27910299,0,19398561
Branco,27910299,4924121,0
Branco,27910299,4924121,4924121
Branco,27910299,4924121,19398561
Branco,27910299,19398561,0
Branco,27910299,19398561,4924121
Branco,27910299,19398561,19398561
Rosado,2531246,0,0
Rosado,2531246,0,1214583
Rosado,2531246,0,2520748
Rosado,2531246,1214583,0
Rosado,2531246,1214583,1214583
Rosado,2531246,1214583,2520748
Rosado,2531246,2520748,0
Rosado,2531246,2520748,1214583
Rosado,2531246,2520748,2520748
Tinto,23615783,0,0
Tinto,23615783,0,12450606
Tinto,23615783,0,165097539
Tinto,23615783,12450606,0
Tinto,23615783,12450606,12450606
Tinto,23615783,12450606,165097539
Tinto,23615783,165097539,0
Tinto,23615783,165097539,12450606
Tinto,23615783,165097539,165097539
Branco,20693437,0,0
Branco,20693437,0,4924121
Branco,20693437,0,19398561
Branco,20693437,4924121,0
Branco,20693437,4924121,4924121
Branco,20693437,4924121,19398561
Branco,20693437,19398561,0
Branco,20693437,19398561,4924121
Branco,20693437,19398561,19398561
Rosado,1959336,0,0
Rosado,1959336,0,1214583
Rosado,1959336,0,2520748
Rosado,1959336,1214583,0
Rosado,1959336,1214583,1214583
Rosado,1959336,1214583,2520748
Rosado,1959336,2520748,0
Rosado,1959336,2520748,1214583
Rosado,1959336,2520748,2520748
Espumante,65525,19609379,19609379
Base espumante moscatel,6734590,722984,722984
Bebida de uva,1627,16780,16780
Polpa de uva,1388251,1331651,1331651
Mosto concentrado,0,0,0
Mistelas,600,1668,1668
Jeropiga,4500,346,346
Vinho leve,0,132064,132064
Vinho licoroso,73600,421974,421974
Borra líquida,758140,72600,72600
Borra seca,17200,53220,53220
